154.16.183.190:443#HK [318.06ms]
23.175.201.2:8443#HK [318.73ms]
217.60.38.113:443#HK [319.13ms]
64.176.38.23:2083#JP [210.67ms]
152.70.253.84:8443#KR [302.78ms]
193.123.232.91:443#KR [303.77ms]
132.145.91.181:8443#KR [321.78ms]
158.178.230.113:8443#SG [243.69ms]
161.118.213.45:443#SG [250.01ms]
116.251.217.65:443#SG [251.39ms]
